Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2015-08-25,6115.74,6081.34,5898.87,5898.87,1377241518.0
2015-08-26,6095.05,5979.2,5949.94,6081.34,1022612076.0
2015-08-27,6212.48,6192.03,5979.2,5979.2,1059861558.0
2015-08-28,6247.94,6247.94,6152.01,6192.03,895702753.0
2015-09-01,6247.94,6058.54,6028.71,6247.94,1032091497.0
2015-09-02,6161.68,6083.31,6021.36,6058.54,791455466.0
2015-09-03,6215.74,6194.1,6083.31,6083.31,758474340.0
2015-09-04,6194.1,6042.92,6040.49,6194.1,766156810.0
2015-09-07,6125.67,6074.52,6042.92,6042.92,479134490.0
2015-09-08,6196.47,6146.1,6074.52,6074.52,685131705.0
2015-09-09,6284.17,6229.01,6146.1,6146.1,756977150.0
2015-09-10,6229.01,6155.81,6127.52,6229.01,772718355.0
2015-09-11,6174.28,6117.76,6113.1,6155.81,584620924.0
2015-09-14,6191.82,6084.59,6065.43,6117.76,617180360.0
2015-09-15,6158.08,6137.6,6019.92,6084.59,728373181.0
2015-09-16,6244.94,6229.21,6137.6,6137.6,844324525.0
2015-09-17,6239.86,6186.99,6182.63,6229.21,861345644.0
2015-09-18,6188.74,6104.11,6053.87,6186.99,1553063458.0
2015-09-21,6168.74,6108.71,6083.64,6104.11,719110948.0
2015-09-22,6111.57,5935.84,5935.84,6108.71,970780515.0
2015-09-23,6067.56,6032.24,5933.23,5935.84,748152309.0
2015-09-24,6055.64,5961.49,5947.19,6032.24,894318831.0
2015-09-25,6120.67,6109.01,5961.49,5961.49,863421878.0
2015-09-28,6110.31,5958.86,5958.86,6109.01,997742113.0
2015-09-29,5958.86,5909.24,5877.08,5958.86,1030460533.0
2015-09-30,6061.61,6061.61,5909.24,5909.24,1050457659.0
2015-10-01,6172.78,6072.47,6053.26,6061.61,873579593.0
2015-10-02,6176.2,6129.98,6051.62,6072.47,888461021.0
2015-10-05,6301.05,6298.92,6129.98,6129.98,890099310.0
2015-10-06,6343.71,6326.16,6255.1,6298.92,737901818.0
2015-10-07,6396.34,6336.35,6319.77,6326.16,1015950556.0
2015-10-08,6380.3,6374.82,6303.46,6336.35,742310224.0
2015-10-09,6453.22,6416.16,6374.82,6374.82,768195872.0
2015-10-12,6416.16,6371.18,6351.34,6416.16,552277081.0
2015-10-13,6371.18,6342.28,6303.02,6371.18,722568487.0
2015-10-14,6342.28,6269.61,6268.29,6342.28,638445308.0
2015-10-15,6351.43,6338.67,6269.61,6269.61,644982685.0
2015-10-16,6398.23,6378.04,6338.67,6338.67,610628124.0
2015-10-19,6408.09,6352.33,6336.27,6378.04,476841513.0
2015-10-20,6367.75,6345.13,6319.25,6352.33,592197388.0
2015-10-21,6387.29,6348.42,6316.3,6345.13,615203664.0
2015-10-22,6387.28,6376.28,6321.65,6348.42,740616736.0
2015-10-23,6487.89,6444.08,6376.28,6376.28,749535452.0
2015-10-26,6453.0,6417.02,6405.38,6444.08,454684919.0
2015-10-27,6419.62,6365.27,6365.27,6417.02,564355564.0
2015-10-28,6448.46,6437.8,6355.78,6365.27,819718084.0
2015-10-29,6437.85,6395.8,6358.16,6437.8,852187877.0
2015-10-30,6410.28,6361.09,6337.65,6395.8,738495275.0
2015-11-02,6364.42,6361.8,6317.29,6361.09,522271611.0
2015-11-03,6383.61,6383.61,6344.7,6361.8,627795096.0
2015-11-04,6459.46,6412.88,6383.04,6383.61,782763296.0
2015-11-05,6421.81,6364.9,6358.12,6412.88,722038914.0
2015-11-06,6395.19,6353.83,6332.73,6364.9,733580005.0
2015-11-09,6380.42,6295.16,6292.05,6353.83,678632340.0
2015-11-10,6329.69,6275.28,6250.31,6295.16,748092690.0
2015-11-11,6327.16,6297.2,6272.69,6275.28,636988106.0
2015-11-12,6300.9,6178.68,6178.68,6297.2,852482981.0
2015-11-13,6178.95,6118.28,6088.76,6178.68,702653669.0
2015-11-16,6161.9,6146.38,6079.79,6118.28,621592768.0
2015-11-17,6269.44,6268.76,6146.38,6146.38,719057908.0
2015-11-18,6283.9,6278.97,6228.15,6268.76,634118027.0
2015-11-19,6366.85,6329.93,6278.97,6278.97,772698321.0
2015-11-20,6360.73,6334.63,6311.76,6329.93,832318821.0
2015-11-23,6334.63,6305.49,6267.05,6334.63,603424205.0
2015-11-24,6305.49,6277.23,6221.33,6305.49,880473152.0
2015-11-25,6348.05,6337.64,6277.23,6277.23,694080970.0
2015-11-26,6395.33,6393.13,6333.92,6337.64,467828626.0
2015-11-27,6393.13,6375.15,6345.3,6393.13,486354571.0
2015-11-30,6387.11,6356.09,6329.92,6375.15,855376109.0
2015-12-01,6402.36,6395.65,6356.09,6356.09,809013829.0
2015-12-02,6447.34,6420.93,6395.2,6395.65,583607146.0
2015-12-03,6444.72,6275.0,6275.0,6420.93,817893597.0
2015-12-04,6277.59,6238.29,6219.5,6275.0,683045008.0
2015-12-07,6287.23,6223.52,6215.17,6238.29,559026396.0
2015-12-08,6224.86,6135.22,6120.68,6223.52,814505354.0
2015-12-09,6175.75,6126.68,6101.22,6135.22,775106052.0
2015-12-10,6127.09,6088.05,6079.96,6126.68,864013976.0
2015-12-11,6088.05,5952.78,5949.84,6088.05,830912319.0
2015-12-14,6009.92,5874.06,5871.88,5952.78,805174789.0
2015-12-15,6036.68,6017.79,5874.06,5874.06,836321328.0
2015-12-16,6089.31,6061.19,6016.25,6017.79,773625646.0
2015-12-17,6160.78,6102.54,6061.19,6061.19,747551644.0
2015-12-18,6105.57,6052.42,6051.74,6102.54,1273161631.0
2015-12-21,6113.96,6034.84,6034.84,6052.42,561857122.0
2015-12-22,6090.58,6083.1,6031.82,6034.84,437446807.0
2015-12-23,6248.5,6240.98,6083.1,6083.1,596525837.0
2015-12-24,6259.86,6254.64,6236.85,6240.98,112218250.0
2015-12-29,6314.57,6314.57,6245.24,6254.64,462310967.0
2015-12-30,6314.57,6274.05,6261.48,6314.57,337956152.0
2015-12-31,6278.31,6242.32,6233.03,6274.05,166419723.0
2016-01-04,6242.32,6093.43,6071.01,6242.32,707338639.0
2016-01-05,6166.26,6137.24,6079.23,6093.43,643371953.0
2016-01-06,6137.24,6073.38,6018.65,6137.24,721605850.0
2016-01-07,6073.38,5954.08,5887.97,6073.38,1086923154.0
2016-01-08,6013.38,5912.44,5912.44,5954.08,835014644.0
2016-01-11,5941.93,5871.83,5871.83,5912.44,841792291.0
2016-01-12,5985.8,5929.24,5866.67,5871.83,831687685.0
2016-01-13,6011.13,5960.97,5929.24,5929.24,834538331.0
2016-01-14,5960.97,5918.23,5829.26,5960.97,1100081153.0
2016-01-15,5934.62,5804.1,5769.23,5918.23,1117874339.0
2016-01-18,5852.09,5779.92,5766.5,5804.1,741112784.0
2016-01-19,5915.69,5876.8,5779.92,5779.92,833709229.0
2016-01-20,5876.8,5673.58,5639.88,5876.8,1067064338.0
2016-01-21,5781.24,5773.79,5659.15,5673.58,1121521102.0
2016-01-22,5926.94,5900.01,5773.79,5773.79,906983619.0
2016-01-25,5933.47,5877.0,5851.83,5900.01,828636273.0
2016-01-26,5919.17,5911.46,5771.37,5877.0,878655682.0
2016-01-27,5990.37,5990.37,5870.75,5911.46,902088741.0
2016-01-28,6020.54,5931.78,5889.37,5990.37,918482169.0
2016-01-29,6083.79,6083.79,5931.78,5931.78,1018714806.0
2016-02-01,6115.11,6060.1,5993.84,6083.79,833652771.0
2016-02-02,6060.45,5922.01,5889.6,6060.1,1017487355.0
2016-02-03,5924.58,5837.14,5791.04,5922.01,1027012573.0
2016-02-04,5938.12,5898.76,5831.12,5837.14,1053264465.0
2016-02-05,5945.9,5848.06,5839.36,5898.76,983668295.0
2016-02-08,5882.43,5689.36,5666.13,5848.06,995838779.0
2016-02-09,5739.25,5632.19,5596.26,5689.36,1146904608.0
2016-02-10,5712.78,5672.3,5616.88,5632.19,994634118.0
2016-02-11,5672.3,5536.97,5499.51,5672.3,1068310050.0
2016-02-12,5707.6,5707.6,5536.97,5536.97,1083597101.0
2016-02-15,5844.53,5824.28,5707.6,5707.6,724655783.0
2016-02-16,5880.72,5862.17,5812.49,5824.28,771095873.0
2016-02-17,6030.32,6030.32,5862.17,5862.17,948752971.0
2016-02-18,6036.46,5971.95,5948.25,6030.32,809866999.0
2016-02-19,6001.22,5950.23,5916.26,5971.95,692901293.0
2016-02-22,6065.81,6037.73,5950.23,5950.23,822106979.0
2016-02-23,6037.73,5962.31,5954.18,6037.73,747386209.0
2016-02-24,5966.73,5867.18,5845.55,5962.31,834682518.0
2016-02-25,6028.97,6012.81,5867.18,5867.18,999956894.0
2016-02-26,6115.37,6096.01,6012.81,6012.81,858937633.0
2016-02-29,6104.98,6097.09,6033.21,6096.01,941705456.0
2016-03-01,6153.75,6152.88,6070.51,6097.09,933626218.0
2016-03-02,6194.01,6147.06,6097.77,6152.88,904552254.0
2016-03-03,6173.7,6130.46,6108.35,6147.06,902840431.0
2016-03-04,6204.14,6199.43,6130.46,6130.46,866051257.0
2016-03-07,6216.1,6182.4,6125.64,6199.43,817955881.0
2016-03-08,6182.45,6125.44,6101.89,6182.4,913517004.0
2016-03-09,6174.82,6146.32,6118.23,6125.44,758331314.0
2016-03-10,6203.4,6036.7,6036.7,6146.32,1056246906.0
2016-03-11,6150.88,6139.79,6036.7,6036.7,721703667.0
2016-03-14,6197.83,6174.57,6139.79,6139.79,688585100.0
2016-03-15,6174.57,6139.97,6114.77,6174.57,700313286.0
2016-03-16,6186.18,6175.49,6134.27,6139.97,700761333.0
2016-03-17,6220.02,6201.12,6125.7,6175.49,832614904.0
2016-03-18,6237.02,6189.64,6186.24,6201.12,1129194839.0
2016-03-21,6215.3,6184.58,6154.12,6189.64,532073707.0
2016-03-22,6193.47,6192.74,6110.39,6184.58,738984425.0
2016-03-23,6216.76,6199.11,6171.13,6192.74,621495470.0
2016-03-24,6199.11,6106.48,6090.03,6199.11,625282203.0
2016-03-29,6156.67,6105.9,6070.77,6106.48,596325476.0
2016-03-30,6221.8,6203.17,6105.9,6105.9,803811014.0
2016-03-31,6203.39,6174.9,6149.82,6203.17,746399614.0
2016-04-01,6174.9,6146.05,6076.89,6174.9,747479047.0
2016-04-04,6201.95,6164.72,6132.9,6146.05,546684659.0
2016-04-05,6164.74,6091.23,6061.85,6164.72,826022974.0
2016-04-06,6161.63,6161.63,6091.23,6091.23,738661280.0
2016-04-07,6204.11,6136.89,6119.38,6161.63,761729934.0
2016-04-08,6216.28,6204.41,6136.89,6136.89,622127770.0
2016-04-11,6229.66,6200.12,6165.46,6204.41,552586501.0
2016-04-12,6248.27,6242.39,6176.28,6200.12,690137678.0
2016-04-13,6362.89,6362.89,6242.39,6242.39,957136086.0
2016-04-14,6373.93,6365.1,6335.4,6362.89,853106424.0
2016-04-15,6372.52,6343.75,6328.19,6365.1,780841692.0
2016-04-18,6354.88,6353.52,6261.71,6343.75,613394441.0
2016-04-19,6418.25,6405.35,6353.49,6353.52,808478358.0
2016-04-20,6421.91,6410.26,6367.36,6405.35,814753144.0
2016-04-21,6427.32,6381.44,6352.93,6410.26,831612206.0
2016-04-22,6381.58,6310.44,6289.34,6381.44,675930787.0
2016-04-25,6324.6,6260.92,6249.34,6310.44,688678395.0
2016-04-26,6297.88,6284.52,6260.92,6260.92,776825761.0
2016-04-27,6319.91,6319.91,6255.2,6284.52,822361601.0
2016-04-28,6322.4,6322.4,6224.47,6319.91,861757044.0
2016-04-29,6322.4,6241.89,6241.89,6322.4,865553789.0
2016-05-03,6270.03,6185.59,6159.86,6241.89,895095848.0
2016-05-04,6185.59,6112.02,6100.76,6185.59,775563205.0
2016-05-05,6152.59,6117.25,6102.29,6112.02,713231246.0
2016-05-06,6129.9,6125.7,6054.74,6117.25,720345411.0
2016-05-09,6177.6,6114.81,6108.37,6125.7,669494932.0
2016-05-10,6180.19,6156.65,6114.81,6114.81,652991824.0
2016-05-11,6172.72,6162.49,6131.22,6156.65,573062298.0
2016-05-12,6193.21,6104.19,6094.14,6162.49,698762351.0
2016-05-13,6138.5,6138.5,6060.1,6104.19,646363012.0
2016-05-16,6157.24,6151.4,6092.21,6138.5,445329473.0
2016-05-17,6215.88,6167.77,6147.16,6151.4,758810659.0
2016-05-18,6169.33,6165.8,6115.99,6167.77,887529434.0
2016-05-19,6165.8,6053.35,6050.21,6165.8,936494714.0
2016-05-20,6156.5,6156.32,6053.35,6053.35,780582626.0
2016-05-23,6173.06,6136.43,6122.57,6156.32,653011411.0
2016-05-24,6231.85,6219.26,6109.58,6136.43,833810582.0
2016-05-25,6270.25,6262.85,6219.26,6219.26,870436656.0
2016-05-26,6281.73,6265.65,6243.49,6262.85,665573218.0
2016-05-27,6275.9,6270.79,6250.27,6265.65,577101187.0
2016-05-31,6290.07,6230.79,6230.11,6270.79,1329032900.0
2016-06-01,6233.18,6191.93,6151.9,6230.79,887239259.0
2016-06-02,6220.27,6185.61,6173.05,6191.93,892214663.0
2016-06-03,6251.74,6209.63,6168.19,6185.61,660724498.0
2016-06-06,6301.56,6273.4,6209.63,6209.63,732583769.0
2016-06-07,6322.6,6284.53,6273.4,6273.4,690004537.0
2016-06-08,6304.51,6301.52,6263.8,6284.53,663109628.0
2016-06-09,6301.73,6231.89,6229.07,6301.52,668485572.0
2016-06-10,6231.89,6115.76,6097.24,6231.89,748337548.0
2016-06-13,6115.76,6044.97,6044.97,6115.76,852838809.0
2016-06-14,6044.97,5923.53,5921.72,6044.97,983533439.0
2016-06-15,6007.49,5966.8,5923.39,5923.53,868079065.0
2016-06-16,5966.8,5950.48,5899.97,5966.8,815955513.0
2016-06-17,6046.1,6021.09,5950.48,5950.48,1313196828.0
2016-06-20,6236.53,6204.0,6021.09,6021.09,1009400994.0
2016-06-21,6250.19,6226.55,6156.23,6204.0,842009594.0
2016-06-22,6315.62,6261.19,6222.01,6226.55,884650413.0
